sample_id,sample_location,location_group,lat,lon,dist_coast_km,precip_racmo,temp_racmo,ph_mq,ec_uScm,wtpct_c,wtpct_n,cn_ratio,d15n_permil,d13c_vpdb_permil,cl_mgL,na_mgL,so4_mgL,ca_mgL,no3_mgL,po4_mgL
AV1-1,Shackleton Glacier,Shackleton Glacier,-85.17621666666666,-174.08848333333333,71.16656,149.7189331,-34.10039520263672,6.628,16361.2,0.012,0.144,0.086,-15.493,-34.477,609.95,2920.453,1826.62,619.382,2205.86,0.5
AV1-8,Shackleton Glacier,Shackleton Glacier,-85.17595,-174.11653333333334,71.07473,149.7189331,-34.10039520263672,7.026,6726.0,0.023,0.148,0.159,-7.376,-32.796,394.51,755.852,2698.58,749.9000000000001,480.8,0.5
AV2-1,Shackleton Glacier,Shackleton Glacier,-85.1706,-174.1338,70.47144,149.7189331,-34.10039520263672,7.791,4724.3,0.034,0.03,1.134,-12.877,-25.955,159.78,434.45500000000004,8756.53,3465.8450000000003,203.71,0.5
AV3-1,Shackleton Glacier,Shackleton Glacier,-85.17068333333333,-174.1483,70.4477,149.7189331,-34.10039520263672,7.186,4766.4,0.032,0.048,0.675,-17.971,-29.747,441.2,393.93800000000005,1237.91,478.121,418.47,0.5
AV3-7,Shackleton Glacier,Shackleton Glacier,-85.16708333333334,-174.15083333333334,70.06209,149.7189331,-34.10039520263672,6.776,860.2,0.06,0.018,3.269,0.588,-24.864,101.96,96.643,50.0,64.909,0.5,0.5
BP1-1,Shackleton Glacier,Shackleton Glacier,-85.21261666666666,-177.33861666666667,74.56571,77.82814789,-33.88451385498047,7.845,11330.6,0.028,0.079,0.351,-3.974,-29.637,942.7,2932.9939999999997,4963.79,1210.193,747.59,0.5
BP1-8,Shackleton Glacier,Shackleton Glacier,-85.20063333333333,-177.37576666666666,73.36065,77.82814789,-33.88451385498047,9.258,540.4,0.147,0.016,9.461,4.849,-19.488,190.87,300.15,50.0,7.443,4.76,0.5
BP2-1,Shackleton Glacier,Shackleton Glacier,-85.21213333333333,-177.3576,74.54969,77.82814789,-33.88451385498047,7.13,3270.1,0.036,0.016,2.219,-7.466,-28.21,366.36,564.3389999999999,2359.71,591.447,105.39,0.5
BP3-1,Shackleton Glacier,Shackleton Glacier,-85.21436666666666,-177.40476666666666,74.8772,77.82814789,-33.88451385498047,7.415,11460.2,0.024,0.063,0.375,-8.006,-26.821,1149.52,2195.295,14548.75,5143.143,647.35,0.5
BP3-8,Shackleton Glacier,Shackleton Glacier,-85.2049,-177.41356666666667,73.88807,77.82814789,-33.88451385498047,9.021,168.3,0.437,0.017,25.185,-2.925,-23.94,180.58,78.842,50.0,36.344,0.5,0.5
BPS-1,Bull Pass,Upper Wright Valley,-77.47965,161.74065,42.96587,37.00067139,-31.25746726989746,8.323,205.1,0.023,0.006,3.624,-14.955,-27.037,56.13,53.777,50.0,16.864,0.5,0.5
BPS-18,Bull Pass,Upper Wright Valley,-77.475483,161.780483,42.15227,37.00067139,-31.25746726989746,7.567,5730.9,0.04,0.028,1.45,-17.012,-11.103,1620.5,794.87,12690.24,5950.032999999999,184.7,0.5
BPS-22,Bull Pass,Upper Wright Valley,-77.475483,161.787483,41.99048,37.00067139,-31.25746726989746,7.751,5831.4,0.055,0.015,3.717,-17.325,-10.475,1622.84,998.9830000000001,13522.01,6037.012,119.98,0.5
BPS-25,Bull Pass,Upper Wright Valley,-77.474317,161.79715,41.79891,37.00067139,-31.25746726989746,8.044,1620.8,0.037,0.008,4.792,-13.34,-16.456,412.05,653.95,1957.85,239.535,12.75,0.5
BPS-5,Bull Pass,Upper Wright Valley,-77.47415,161.797817,41.7881,37.00067139,-31.25746726989746,7.966,3179.0,0.045,0.011,4.095,-11.9,-15.341,1281.61,251.0,50.0,925.1,68.38,0.5
